route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
P21,S2303-AMD-Weekday-57,3948409-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418861,P210484,1,1
P21,S2303-AMD-Weekday-57,3948410-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418861,P210487,1,1
P21,S2303-AMD-Weekday-57,3948411-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418861,P210486,1,1
P21,S2303-AMD-Weekday-57,3948412-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418861,P210485,1,1
P21,S2303-AMD-Weekday-57,3948413-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418861,P210484,1,1
P21,S2303-AMD-Weekday-57,3948414-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418861,P210487,1,1
P21,S2303-AMD-Weekday-57,3948415-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418861,P210486,1,1
P21,S2303-AMD-Weekday-57,3948416-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418861,P210485,1,1
P21,S2303-AMD-Weekday-57,3948417-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418861,P210484,1,1
P21,S2303-AMD-Weekday-57,3948418-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418861,P210487,1,1
P21,S2303-AMD-Weekday-57,3948419-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418861,P210486,1,1
P21,S2303-AMD-Weekday-57,3948420-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948421-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948422-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418864,P210484,1,1
P21,S2303-AMD-Weekday-57,3948423-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418864,P210487,1,1
P21,S2303-AMD-Weekday-57,3948424-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948425-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948426-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418864,P210484,1,1
P21,S2303-AMD-Weekday-57,3948427-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Meetinghouse/Meadow",0,418864,P210487,1,1
P21,S2303-AMD-Weekday-57,3948428-S2303-AMD-Weekday-57,"Union Station Springfield via Chicopee",1,418864,P210486,1,1
P21,S2303-AMD-Weekday-57,3948429-S2303-AMD-Weekday-57,"Holyoke Trans. Ctr. via Chicopee",0,418864,P210485,1,1
P21,S2303-AMD-Weekday-57,3948430-S2303-AMD-Weekday-57,"Union Station via Meetinghouse/Meadow",1,418864,P210484,1,1
