stopid,lat,lon
828,42.13936,-72.52534
829,42.13951,-72.5053
830,42.13877,-72.5829
832,42.1388,-72.56214
835,42.13865,-72.56228
838,42.13909,-72.49599
840,42.13885,-72.50977
841,42.13867,-72.50897
842,42.13794,-72.57904
844,42.13775,-72.60141
845,42.13772,-72.6015
846,42.13748,-72.61272
847,42.13845,-72.49583
848,42.13765,-72.58206
849,42.13728,-72.61289
850,42.13793,-72.54524
851,42.13788,-72.51311
852,42.13779,-72.51447
854,42.1375,-72.56446
855,42.13764,-72.51431
856,42.13695,-72.56578
858,42.1372,-72.51758
859,42.13709,-72.5277
860,42.13705,-72.51766
861,42.137,-72.52807
863,42.13666,-72.56607
866,42.13663,-72.50682
867,42.13638,-72.52872
868,42.13527,-72.56871
869,42.13522,-72.5236
870,42.13519,-72.6008
871,42.13586,-72.52228
872,42.13542,-72.56874
873,42.13513,-72.60071
874,42.13552,-72.53008
875,42.13564,-72.5296
876,42.13563,-72.49591
879,42.13503,-72.56917
881,42.13433,-72.62592
883,42.13514,-72.5304
885,42.13427,-72.57088
886,42.13456,-72.52426
887,42.13411,-72.52501
888,42.13362,-72.60046
889,42.13446,-72.49572
890,42.13378,-72.57113
891,42.13291,-72.62574
892,42.13327,-72.58475
893,42.13308,-72.60024
894,42.13386,-72.49587
896,42.13343,-72.53314
897,42.13072,-72.79666
898,42.13275,-72.61307
899,42.1325,-72.61318
901,42.13366,-72.53257
902,42.13262,-72.57319
903,42.13275,-72.54186
904,42.13263,-72.54234
905,42.13261,-72.54361
906,42.13234,-72.57339
907,42.13221,-72.5846
908,42.13256,-72.54047
909,42.13242,-72.54458
910,42.13254,-72.54018
911,42.1327,-72.49585
914,42.12955,-72.73219
915,42.13165,-72.5747
916,42.13141,-72.60033
917,42.13172,-72.54947
918,42.13121,-72.60022
919,42.12982,-72.73243
920,42.13152,-72.57467
921,42.13207,-72.49569
922,42.13153,-72.55061
924,42.13165,-72.53727
925,42.13156,-72.53724
926,42.13042,-72.62254
927,42.1304,-72.61265
929,42.12896,-72.79299
930,42.13072,-72.62416
931,42.13119,-72.53463
932,42.13076,-72.61297
933,42.12901,-72.73141
934,42.13112,-72.53448
936,42.13063,-72.57654
937,42.1284,-72.78461
938,42.13093,-72.52669
939,42.12889,-72.73106
940,42.13084,-72.52703
941,42.13041,-72.57673
942,42.13067,-72.55402
943,42.12706,-72.78729
944,42.13078,-72.55406
946,42.12998,-72.4958
947,42.12924,-72.58449
948,42.12921,-72.57922
949,42.12904,-72.62642
950,42.129,-72.57934
953,42.1282,-72.62685
954,42.12904,-72.55686
955,42.1284,-72.60052
956,42.12891,-72.52941
957,42.12815,-72.60043
958,42.12814,-72.58084
959,42.12732,-72.61127
960,42.12779,-72.58454
961,42.12819,-72.53004
962,42.12768,-72.53089
964,42.12776,-72.4962
965,42.12764,-72.61145
966,42.12756,-72.49611
967,42.1277,-72.61161
968,42.12661,-72.58301
969,42.12708,-72.53145
970,42.12629,-72.60111
972,42.12639,-72.58308
973,42.12606,-72.60121
974,42.12633,-72.53267
975,42.12621,-72.5332
976,42.12577,-72.58435
977,42.12596,-72.55884
978,42.12635,-72.61109
979,42.12644,-72.61088
980,42.12562,-72.58421
981,42.12568,-72.5589
982,42.12561,-72.53413
983,42.12337,-72.77663
984,42.12505,-72.58465
985,42.12485,-72.58442
986,42.1248,-72.58515
989,42.12517,-72.53595
990,42.12505,-72.53591
991,42.12525,-72.49676
992,42.12397,-72.62669
993,42.11961,-72.76526
994,42.12402,-72.61009
995,42.12462,-72.53821
996,42.1249,-72.49701
997,42.12449,-72.55951
998,42.12374,-72.62689
999,42.1245,-72.5382
1000,42.12372,-72.61744
1001,42.124,-72.56001
1002,42.12371,-72.60392
1003,42.12364,-72.5866
1005,42.12362,-72.58426
1006,42.12347,-72.6039
1007,42.12317,-72.60974
1008,42.1235,-72.5866
1009,42.12182,-72.56157
1012,42.12325,-72.54214
1013,42.12294,-72.58434
1014,42.12308,-72.60953
1015,42.12362,-72.54095
1017,42.12239,-72.61673
1018,42.12199,-72.62742
1020,42.12324,-72.49747
1022,42.12236,-72.58805
1023,42.1222,-72.58845
1024,42.12197,-72.61661
1026,42.12047,-72.74544
1027,42.12034,-72.75282
1029,42.12282,-72.54267
1030,42.12262,-72.4975
1031,42.12175,-72.58418
1032,42.12144,-72.62734
1033,42.11995,-72.75615
1035,42.12177,-72.56179
1036,42.12284,-72.56069
1037,42.1217,-72.54934
1038,42.12219,-72.49777
1039,42.12109,-72.61601
1040,42.12196,-72.54412
1041,42.11968,-72.74328
1042,42.12123,-72.59001
1043,42.12112,-72.59053
1044,42.11935,-72.75934
1046,42.11922,-72.75928
1049,42.12036,-72.62749
1051,42.12054,-72.60524
1052,42.12036,-72.61574
1053,42.12034,-72.60498
1054,42.12117,-72.54484
1056,42.11918,-72.74029
1058,42.12131,-72.49789
1061,42.12069,-72.54548
1062,42.12034,-72.61561
1063,42.12024,-72.59248
1064,42.12012,-72.59247
1065,42.12007,-72.56342
1066,42.11991,-72.6082
1067,42.11968,-72.62743
1068,42.11963,-72.60824
1069,42.11818,-72.73692
1070,42.12029,-72.56311
1075,42.11996,-72.54588
1077,42.1193,-72.60458
1078,42.12026,-72.49838
1079,42.11967,-72.54633
1080,42.11869,-72.62767
1081,42.11897,-72.60405
1083,42.11877,-72.61488
1084,42.11942,-72.54821
1089,42.1185,-72.62756
1091,42.11868,-72.61472
1093,42.11859,-72.60781
1097,42.11849,-72.60761
1100,42.11927,-72.49855
1101,42.11868,-72.54695
1103,42.11808,-72.59492
1104,42.11796,-72.6031
1105,42.11806,-72.5948
1106,42.11837,-72.56499
1107,42.11774,-72.54821
1109,42.11796,-72.60291
1110,42.1178,-72.61447
1112,42.11769,-72.61628
1113,42.11761,-72.61623
1114,42.11785,-72.56563
1117,42.11747,-72.6178
1119,42.11722,-72.62777
1120,42.11728,-72.61774
1121,42.11791,-72.54546
1125,42.11771,-72.51688
1126,42.11741,-72.54831
1127,42.11679,-72.60701
1128,42.11681,-72.60688
1130,42.11664,-72.62741
1131,42.11765,-72.51273
1132,42.1176,-72.51458
1133,42.11763,-72.51055
1134,42.11756,-72.51237
1135,42.11758,-72.50783
1136,42.11755,-72.51081
1137,42.11677,-72.59513
1139,42.11676,-72.58475
1140,42.11751,-72.50845
1142,42.11753,-72.50436
1143,42.11666,-72.5953
1144,42.11655,-72.60129
1145,42.11742,-72.50443
1147,42.11688,-72.54912
1149,42.1166,-72.58489
1151,42.11634,-72.56703
1152,42.11598,-72.61778
1153,42.1144,-72.72752
1156,42.11694,-72.49896
1157,42.11587,-72.60659
1158,42.11578,-72.61759
1161,42.11621,-72.59344
1162,42.11663,-72.52107
1167,42.11642,-72.52168
1168,42.11623,-72.56701
1176,42.11557,-72.55175
1177,42.11602,-72.52507
1178,42.11613,-72.50035
1179,42.11518,-72.61262
1181,42.11506,-72.61273
1183,42.11584,-72.52518
1184,42.11592,-72.50025
1185,42.11509,-72.59936
1186,42.11583,-72.49866
1187,42.11494,-72.60624
1193,42.11491,-72.61455
1194,42.1153,-72.55216
1195,42.11463,-72.61642
1197,42.11483,-72.59581
1200,42.11453,-72.60592
1201,42.11494,-72.55369
1203,42.11584,-72.59537
1205,42.11421,-72.62529
1206,42.11494,-72.52802
1207,42.1147,-72.55399
1208,42.11517,-72.60279
1209,42.11396,-72.62533
1210,42.11487,-72.52797
1211,42.11423,-72.56896
1213,42.11447,-72.56863
1214,42.1139,-72.61082
1216,42.11464,-72.52989
1220,42.11375,-72.61084
1221,42.11428,-72.55573
1222,42.11391,-72.59652
1225,42.11387,-72.59641
1228,42.11436,-72.53101
1232,42.11366,-72.59744
1233,42.11355,-72.60545
1234,42.11422,-72.53282
1235,42.11357,-72.60132
1236,42.11413,-72.53287
1239,42.11222,-72.72394
1240,42.11406,-72.53501
1242,42.11398,-72.53452
1246,42.11378,-72.53847
1249,42.11369,-72.53839
1253,42.11335,-72.55875
1254,42.11168,-72.71181
1255,42.1132,-72.54275
1257,42.11272,-72.6101
1258,42.11076,-72.70993
1259,42.11313,-72.55033
1260,42.11256,-72.6099
1261,42.11315,-72.54917
1263,42.11379,-72.55682
1264,42.113,-72.55067
1265,42.11306,-72.54307
1266,42.11279,-72.57027
1267,42.11241,-72.60449
1268,42.1127,-72.58013
1269,42.11294,-72.57003
1270,42.11245,-72.59849
1271,42.11284,-72.55232
1273,42.11271,-72.5607
1274,42.11231,-72.5985
1275,42.11282,-72.54463
1276,42.1128,-72.54619
1277,42.11209,-72.62502
1278,42.11273,-72.55255
1280,42.1122,-72.59975
1281,42.11256,-72.5607
1283,42.11248,-72.55433
1284,42.11247,-72.55504
1285,42.11171,-72.62492
1287,42.11206,-72.59575
1288,42.11193,-72.58308
1290,42.11127,-72.59862
1292,42.1122,-72.55633
1296,42.11122,-72.60284
1297,42.11198,-72.55845
1299,42.11212,-72.56204
1300,42.1119,-72.5585
1301,42.11145,-72.59966
1302,42.11174,-72.5602
1304,42.11158,-72.5761
1306,42.1116,-72.58334
1307,42.11157,-72.57623
1309,42.11136,-72.56497
1311,42.1114,-72.56276
1314,42.11174,-72.5632
1315,42.11122,-72.56323
1316,42.11069,-72.60346
1317,42.11058,-72.6113
1319,42.11057,-72.60351
1320,42.11021,-72.58515
1321,42.11056,-72.58493
1322,42.11036,-72.61127
1323,42.11069,-72.56725
1325,42.11054,-72.57499
1326,42.11073,-72.57531
1327,42.11048,-72.5671
1328,42.11022,-72.56968
1329,42.10983,-72.62482
1330,42.1102,-72.57358
1331,42.11014,-72.57384
1332,42.11009,-72.56951
1334,42.10975,-72.601
1335,42.10978,-72.60144
1336,42.10954,-72.62434
1338,42.10963,-72.56884
1339,42.10973,-72.57165
1340,42.1096,-72.57335
1341,42.10948,-72.57312
1345,42.10776,-72.70348
1346,42.10893,-72.58667
1347,42.11055,-72.71
1350,42.10887,-72.57544
1351,42.10894,-72.56882
1352,42.10744,-72.70816
1353,42.10743,-72.68863
1354,42.10844,-72.58738
1355,42.10801,-72.62375
1356,42.10746,-72.68748
1357,42.10824,-72.58747
1358,42.10836,-72.57604
1359,42.10837,-72.55224
1360,42.10851,-72.54942
1361,42.10829,-72.55249
1363,42.10809,-72.55535
1365,42.10798,-72.55466
1366,42.10797,-72.55828
1367,42.10703,-72.64836
1369,42.10793,-72.55705
1371,42.10722,-72.62269
1372,42.10769,-72.56846
1374,42.10689,-72.64867
1375,42.10769,-72.55752
1376,42.1068,-72.65021
1377,42.1076,-72.57665
1378,42.10681,-72.64542
1379,42.1069,-72.62371
1380,42.10681,-72.62294
1381,42.10734,-72.5761
1382,42.10655,-72.65092
1383,42.1066,-72.64511
1385,42.10642,-72.65256
1386,42.1072,-72.55827
1387,42.1072,-72.57877
1388,42.10625,-72.65276
1390,42.10648,-72.61896
1391,42.10648,-72.61645
1392,42.1063,-72.62512
1395,42.10654,-72.58949
1396,42.10612,-72.61786
1398,42.10647,-72.58975
1399,42.10623,-72.61592
1400,42.10679,-72.55135
1401,42.10652,-72.57505
1402,42.10652,-72.56822
1403,42.1058,-72.64291
1404,42.10593,-72.62674
1405,42.10647,-72.57483
